variable_name,variable_description,variable_values,,,,,,,,,,,,,
lab,the lab ID,COUNTRY_number,,,,,,,,,,,,,
country,country of lab,3-letter ISO country code,,,,,,,,,,,,,
language,Language of the test,"EL, ENG, ES-PE, FAS, FR-CH, FRE, GER, HU, ITA, NL, NOR, POL, PT, PT-BR, RO, RU, SLO, SPA, SRP, SV, THA, TUR, ZH-CN, ZH-S",,,,,,,,,,,,,
region,World region coded from lab ID,Africa; Asia; Australia & New Zealand; Central America & Mexico; Eastern Europe; Middle East; Scandanavia; South America; UK; USA & Canada; Western Europe,,,,,,,,,,,,,
rater_id,rater ID,number,,,,,,,,,,,,,
rater_sex,rater sex,male; female; na; no,,,,,,,,,,,,,
rater_age,rater age,"year,  jittered +/- up to 2 years in this simulated dataset",,,,,,,,,,,,,
rater_eth,rater ethnicity,"open text, responses with <50 participants recoded here as ""rare""",,,,,,,,,,,,,
rater_country,rater country,2-letter ISO country code,,,,,,,,,,,,,
stim_id,face stiulus ID (from CFD),from CFD,,,,,,,,,,,,,
stim_sex,face stimulus sex,male; female,,,,,,,,,,,,,
stim_age,face stimulus age,years,,,,,,,,,,,,,
stim_eth,face stimulus ethnicity,white; black; asian; latinx,,,,,,,,,,,,,
block,which block of ratings (they are repeated twice),1; 2,,,,,,,,,,,,,
trait,rated trait,aggressive,attractive,caring,confident,dominant,emostable,intelligent,mean,old,responsible,sociable,trustworthy,unhappy,weird
order,order of trial presentation,1 to 120,,,,,,,,,,,,,
rt,reactuion time,milliseconds,,,,,,,,,,,,,
rating,trait rating,1 to 9,,,,,,,,,,,,,
