session_id,project_id,user_id,proj_name,user_status
3,1,8,PSA1_ENG_test,guest
4,1,9,PSA1_ENG_test,guest
5,1,10,PSA1_ENG_test,guest
6,1,11,PSA1_ENG_test,guest
7,1,12,PSA1_ENG_test,guest
8,1,13,PSA1_ENG_test,guest
9,1,14,PSA1_ENG_test,guest
10,1,15,PSA1_ENG_test,guest
11,1,17,PSA1_ENG_test,guest
12,1,17,PSA1_ENG_test,guest
15,41,29,PSA1_ENG_USA_051,guest
16,6,30,PSA1_ENG_AUS_006,guest
17,6,32,PSA1_ENG_AUS_006,guest
18,6,33,PSA1_ENG_AUS_006,guest
19,6,37,PSA1_ENG_AUS_006,guest
20,6,39,PSA1_ENG_AUS_006,guest
21,6,40,PSA1_ENG_AUS_006,guest
22,6,42,PSA1_ENG_AUS_006,guest
23,6,43,PSA1_ENG_AUS_006,guest
24,6,44,PSA1_ENG_AUS_006,guest
25,6,45,PSA1_ENG_AUS_006,guest
26,6,47,PSA1_ENG_AUS_006,guest
27,6,49,PSA1_ENG_AUS_006,guest
28,6,50,PSA1_ENG_AUS_006,guest
29,6,51,PSA1_ENG_AUS_006,guest
30,6,52,PSA1_ENG_AUS_006,guest
31,6,54,PSA1_ENG_AUS_006,guest
32,6,55,PSA1_ENG_AUS_006,guest
33,6,56,PSA1_ENG_AUS_006,guest
34,6,57,PSA1_ENG_AUS_006,guest
35,6,58,PSA1_ENG_AUS_006,guest
36,6,59,PSA1_ENG_AUS_006,guest
37,6,60,PSA1_ENG_AUS_006,guest
38,6,61,PSA1_ENG_AUS_006,guest
39,6,62,PSA1_ENG_AUS_006,guest
42,61,63,PSA1_ENG_USA_030,guest
44,6,65,PSA1_ENG_AUS_006,guest
45,6,66,PSA1_ENG_AUS_006,guest
46,6,67,PSA1_ENG_AUS_006,guest
47,6,68,PSA1_ENG_AUS_006,guest
48,6,69,PSA1_ENG_AUS_006,guest
49,6,71,PSA1_ENG_AUS_006,guest
50,6,73,PSA1_ENG_AUS_006,guest
51,59,74,PSA1_ENG_USA_039,guest
52,6,75,PSA1_ENG_AUS_006,guest
53,6,76,PSA1_ENG_AUS_006,guest
54,80,78,PSA1_TUR_test,guest
55,1,79,PSA1_ENG_test,guest
56,61,84,PSA1_ENG_USA_030,guest
57,61,85,PSA1_ENG_USA_030,guest
58,61,86,PSA1_ENG_USA_030,guest
59,61,87,PSA1_ENG_USA_030,guest
60,36,88,PSA1_ENG_PSA_001,guest
61,1,89,PSA1_ENG_test,guest
62,1,92,PSA1_ENG_test,guest
63,1,91,PSA1_ENG_test,guest
64,1,90,PSA1_ENG_test,guest
65,41,93,PSA1_ENG_USA_051,guest
66,1,94,PSA1_ENG_test,guest
67,41,95,PSA1_ENG_USA_051,guest
68,1,97,PSA1_ENG_test,guest
69,41,99,PSA1_ENG_USA_051,guest
70,1,98,PSA1_ENG_test,guest
72,41,102,PSA1_ENG_USA_051,guest
73,41,103,PSA1_ENG_USA_051,guest
74,41,104,PSA1_ENG_USA_051,guest
75,41,105,PSA1_ENG_USA_051,guest
76,1,101,PSA1_ENG_test,guest
78,41,102,PSA1_ENG_USA_051,guest
79,1,108,PSA1_ENG_test,guest
80,41,103,PSA1_ENG_USA_051,guest
81,1,109,PSA1_ENG_test,guest
82,1,110,PSA1_ENG_test,guest
83,41,105,PSA1_ENG_USA_051,guest
84,41,111,PSA1_ENG_USA_051,guest
